"GEOID","NAME","B01003_001E","B01003_001M","area_km2","pop_density"
"24005","Baltimore County, Maryland",850737,NA,1608.89198935215,528.771978249804
"24047","Worcester County, Maryland",52827,NA,1513.7631272227,34.897798109881
"24031","Montgomery County, Maryland",1056910,NA,1312.96827840953,804.97755915344
"01051","Elmore County, Alabama",87694,NA,1701.74815998757,51.531714305271
"01009","Blount County, Alabama",59077,NA,1685.15119913726,35.0573883401356
"25001","Barnstable County, Massachusetts",229436,NA,1138.97877193067,201.440102005665
"25013","Hampden County, Massachusetts",464575,NA,1642.77039703124,282.799714944683
"26041","Delta County, Michigan",36839,NA,3066.68492294748,12.0126458784012
"01025","Clarke County, Alabama",23058,NA,3244.53742678836,7.10671413731363
"01055","Etowah County, Alabama",103348,NA,1421.1661208544,72.7205627009087
"26013","Baraga County, Michigan",8245,NA,2376.97358563148,3.46869651805979
"01115","St. Clair County, Alabama",91719,NA,1692.13493143098,54.2031242877519
"01065","Hale County, Alabama",14742,NA,1699.68584632309,8.67336751193826
"27137","St. Louis County, Minnesota",200122,NA,17462.1670321034,11.4603187354745
"27107","Norman County, Minnesota",6457,NA,2270.75649129999,2.84354576315817
"27173","Yellow Medicine County, Minnesota",9569,NA,1977.09862183809,4.83992042395123
"28087","Lowndes County, Mississippi",58547,NA,1337.37224097949,43.7776396174637
"29031","Cape Girardeau County, Missouri",81703,NA,1518.65206185831,53.7996833191822
"29201","Scott County, Missouri",38055,NA,1103.12397862098,34.4974823660099
"29081","Harrison County, Missouri",8190,NA,1881.30645312823,4.35335773519604
"30031","Gallatin County, Montana",119685,NA,6820.93168295239,17.5467231696705
"30071","Phillips County, Montana",4233,NA,13499.1691304424,0.313574854800065
"30085","Roosevelt County, Montana",10799,NA,6137.13703934129,1.75961526209607
"30089","Sanders County, Montana",12615,NA,7225.56522285143,1.74588417804382
"31103","Keya Paha County, Nebraska",987,129,2005.07298305744,0.49225140847241
"34011","Cumberland County, New Jersey",153588,NA,1298.26300411566,118.302685598454
"34041","Warren County, New Jersey",109739,NA,939.116721203134,116.853419305973
"34005","Burlington County, New Jersey",461853,NA,2124.24024707902,217.420322694234
"34023","Middlesex County, New Jersey",860147,NA,821.885271336225,1046.55361277076
"35041","Roosevelt County, New Mexico",19142,NA,6355.76749110025,3.01175271543584
"37031","Carteret County, North Carolina",68353,NA,1463.66484297126,46.6998987700235
"37165","Scotland County, North Carolina",34222,NA,830.290723039438,41.2168883144013
"37009","Ashe County, North Carolina",26759,NA,1112.22888252837,24.0588968874555
"37075","Graham County, North Carolina",8047,NA,780.833020326516,10.3056604812064
"38105","Williams County, North Dakota",39076,NA,5562.91395080949,7.02437613551686
"38085","Sioux County, North Dakota",3896,NA,2921.92278621255,1.33336856756919
"39123","Ottawa County, Ohio",40367,NA,683.921447877983,59.022860191397
"39125","Paulding County, Ohio",18827,NA,1084.78927872175,17.3554443884112
"39035","Cuyahoga County, Ohio",1256620,NA,1188.31810079439,1057.47779080362
"40095","Marshall County, Oklahoma",15494,NA,1105.85131641704,14.0109251306954
"40013","Bryan County, Oklahoma",46528,NA,2443.69943920941,19.0399847270304
"40023","Choctaw County, Oklahoma",14285,NA,2071.04139020515,6.89749614254932
"41033","Josephine County, Oregon",87994,NA,4250.10310210434,20.70396832407
"41045","Malheur County, Oregon",31538,NA,25720.0513679909,1.2262028387412
"41001","Baker County, Oregon",16685,NA,7998.82979687471,2.08593012024323
"41021","Gilliam County, Oregon",1983,NA,3166.25927782275,0.626291098107289
"42045","Delaware County, Pennsylvania",575312,NA,494.344079434205,1163.78859165961
"42049","Erie County, Pennsylvania",270495,NA,2095.58720607789,129.078379184353
"42059","Greene County, Pennsylvania",35781,NA,1496.60538428145,23.9081058880322
"45053","Jasper County, South Carolina",29444,NA,1737.83219149368,16.9429477392133
"45043","Georgetown County, South Carolina",63594,NA,2255.22606504341,28.1985034607942
"45091","York County, South Carolina",282987,NA,1802.6163887707,156.986811926737
"45057","Lancaster County, South Carolina",97611,NA,1437.7653575156,67.8907719467296
"46009","Bon Homme County, South Dakota",7018,NA,1506.21317397595,4.65936702802471
"47065","Hamilton County, Tennessee",367193,NA,1490.94740439636,246.28165884139
"47163","Sullivan County, Tennessee",158722,NA,1112.72690130555,142.642367874609
"47009","Blount County, Tennessee",135951,NA,1467.49057919155,92.6418213021147
"47019","Carter County, Tennessee",56315,NA,900.24595476072,62.5551269652394
"48273","Kleberg County, Texas",30860,NA,2351.79796231803,13.1218754733434
"48391","Refugio County, Texas",6718,NA,2034.06178523742,3.3027511989838
"48201","Harris County, Texas",4726177,NA,4587.01052241596,1030.33925405315
"48443","Terrell County, Texas",862,252,6106.93437254558,0.141151017419676
"48229","Hudspeth County, Texas",3329,NA,11841.2573325329,0.28113568572265
"48205","Hartley County, Texas",5369,NA,3789.26830252933,1.41689623730687
"48351","Newton County, Texas",12333,NA,2433.70474583572,5.06758267250899
"54107","Wood County, West Virginia",84272,NA,976.124237852262,86.33327268404
"49037","San Juan County, Utah",14524,NA,20549.0158960688,0.706797837592728
"49033","Rich County, Utah",2543,NA,2813.78035607142,0.9037663492507
"50027","Windsor County, Vermont",57832,NA,2529.36855185791,22.8642045689706
"51119","Middlesex County, Virginia",10738,NA,361.397009881882,29.7124760481819
"51131","Northampton County, Virginia",12132,NA,890.780381949487,13.6195186219177
"51117","Mecklenburg County, Virginia",30367,NA,1759.45870313717,17.2592854528809
"51133","Northumberland County, Virginia",12007,NA,548.426927839874,21.8935274518572
"51051","Dickenson County, Virginia",14089,NA,864.015826513104,16.3064142665751
"51107","Loudoun County, Virginia",420773,NA,1349.94578815084,311.696220465546
"51181","Surry County, Virginia",6546,NA,733.693552715997,8.92198108565617
"53027","Grays Harbor County, Washington",75672,NA,5014.69010958732,15.0900650581233
"53053","Pierce County, Washington",918993,NA,4395.51142383138,209.075329668681
"53047","Okanogan County, Washington",42336,NA,13762.5642076378,3.07617093451995
"53071","Walla Walla County, Washington",62150,NA,3365.5044403792,18.4667710594366
"02066","Copper River Census Area, Alaska",2614,NA,65170.8954940456,0.040109929136064
"54031","Hardy County, West Virginia",14249,NA,1513.77140890711,9.41291394206426
"54023","Grant County, West Virginia",11034,NA,1243.79441706901,8.87124097726817
"55121","Trempealeau County, Wisconsin",30679,NA,1921.5411754269,15.9658301327756
"55037","Florence County, Wisconsin",4574,NA,1288.33012761768,3.5503322494352
"02100","Haines Borough, Alaska",2079,NA,6229.38802340607,0.333740648710346
"56045","Weston County, Wyoming",6870,NA,6213.18195783873,1.10571363378995
"05013","Calhoun County, Arkansas",4773,NA,1637.91505201385,2.91407053994131
"05061","Howard County, Arkansas",12779,NA,1542.96958899912,8.28208157251457
"05099","Nevada County, Arkansas",8292,NA,1607.53256683588,5.15821587137188
"05103","Ouachita County, Arkansas",22606,NA,1916.24612030719,11.7970232322642
"06063","Plumas County, California",19650,NA,6768.34018850123,2.90322286598175
"06101","Sutter County, California",99101,NA,1575.87830638782,62.8862010462954
"06021","Glenn County, California",28657,NA,3434.44539176602,8.34399640439889
"08015","Chaffee County, Colorado",19564,NA,2629.31451995755,7.44072261097004
