,PCNTNM,NAME,PPHONE,PCNTY,PCNTY22,P_INDIAN,P_ASIAN,P_PACIFIC,P_HISP,P_WHITE,P_BLACK,P_TR,STTCH_RT,State,ZIP,RELIG,ORIENT
18393,ROCKINGHAM,HICKORY HOLLOW CHRISTIAN SCHOOL,5408799054.0,165,16551,0.0,0.0,0.0,0.0,97.727272727,0.7575757576,1.5151515152,12.815533981,VA,22812,2,24
18394,CHESTERFIELD,MILLWOOD SCHOOL,8046393200.0,41,4151,0.0,4.0178571429,4.9107142857,0.4464285714,76.339285714,8.0357142857,6.25,8.4848484848,VA,23112,3,30
18395,WESTMORELAND,MONROE BAY CHRISTIAN ACADEMY,8042249375.0,193,19351,0.0,0.0,0.0,0.0,60.0,0.0,40.0,4.5454545455,VA,22443,2,4
18396,FAIRFAX,MONTESSORI SCHOOL OF OAKTON,7037150611.0,59,5951,0.0,41.509433962,0.0,3.7735849057,49.056603774,1.8867924528,3.7735849057,13.25,VA,22030,3,30
18397,BRISTOL,MORRISON SCHOOL,2766692823.0,520,52051,0.0,0.0,0.0,0.0,98.333333333,1.6666666667,0.0,6.4516129032,VA,24201,3,30
18398,ROCKINGHAM,MOUNTAIN VIEW MENNONITE SCHOOL,5408793303.0,165,16551,0.0,0.0,0.0,0.0,100.0,0.0,0.0,17.045454545,VA,22821,2,24
18399,LYNCHBURG,NEW VISTAS SCHOOL,4348460301.0,680,68051,0.0,3.2258064516,0.0,0.0,77.419354839,19.35483871,0.0,3.0693069307,VA,24501,3,30
18400,ROCKINGHAM,OAK LANE SCHOOL,5408792716.0,165,16551,0.0,0.0,0.0,0.0,100.0,0.0,0.0,12.5,VA,22801,2,8
18401,AUGUSTA,PILGRIM CHRISTIAN SCHOOL,5403374532.0,15,1551,0.0,0.0,0.0,0.0,100.0,0.0,0.0,10.4,VA,24477,2,24
18402,FAIRFAX,RESTON MONTESSORI SCHOOL,7034812922.0,59,5951,1.4925373134,19.402985075,4.4776119403,5.9701492537,56.71641791,1.4925373134,10.447761194,1.8662952646,VA,20190,3,30
18403,ARLINGTON,RIVENDELL SCHOOL,7035321200.0,13,1351,0.0,4.2553191489,0.0,4.2553191489,87.234042553,0.0,4.2553191489,13.428571429,VA,22205,2,8
18404,FRANKLIN,ROCK CHURCH SCHOOL,7575623878.0,620,62051,0.0,0.0,0.0,4.9180327869,85.245901639,9.8360655738,0.0,8.9705882353,VA,23851,2,8
18405,CHESTERFIELD,ST EDWARD-EPIPHANY SCHOOL,8042722881.0,41,4151,0.0,1.5748031496,0.5905511811,7.6771653543,83.267716535,2.5590551181,4.3307086614,17.638888889,VA,23235,1,1
18406,PRINCE WILLIAM,STAR BETHLEHEM CHRISTIAN ACADEMY,7032214111.0,153,15351,0.0,0.0,0.0,0.0,0.0,100.0,0.0,17.5,VA,22172,2,8
18407,HAMPTON,VICTORY BAPTIST SCHOOL,7577221883.0,650,65051,0.0,0.0,0.0,0.0,90.909090909,0.0,9.0909090909,5.5,VA,23663,2,5
18408,FAUQUIER,WAKEFIELD SCHOOL,5402537515.0,61,6151,0.8021390374,3.4759358289,1.6042780749,7.2192513369,77.272727273,4.2780748663,5.3475935829,5.102319236,VA,20198,3,30
18409,NORFOLK,WEST GHENT SCHOOL,7576224403.0,710,71051,0.0,0.0,0.0,0.0,93.333333333,0.0,6.6666666667,7.5,VA,23507,3,30
18410,CHITTENDEN,LAKE CHAMPLAIN WALDORF SCHOOL,8029852827.0,7,750,0.0,0.0,0.0,1.3986013986,90.909090909,0.6993006993,6.993006993,6.7772511848,VT,5482,3,30
18411,BENNINGTON,SOUTHSHIRE COMMUNITY SCHOOL,8024424601.0,3,350,0.0,0.0,0.0,0.0,81.481481481,0.0,18.518518519,7.9411764706,VT,5257,3,30
18412,KING,BERTSCHI SCHOOL,2064426856.0,33,3353,0.4545454545,6.8181818182,0.0,5.0,52.272727273,6.8181818182,28.636363636,8.8709677419,WA,98102,3,30
18413,KING,CEDAR RIVER MONTESSORI SCHOOL,4252719614.0,33,3353,0.0,16.483516484,0.0,8.7912087912,60.43956044,5.4945054945,8.7912087912,7.3983739837,WA,98058,3,30
18414,KING,COUNTRYSIDE MONTESSORI,4258232211.0,33,3353,0.0,18.181818182,0.0,9.0909090909,63.636363636,0.0,9.0909090909,5.5,WA,98034,3,30
